Id;Designator;Package;Quantity;Designation;Supplier and ref
65;FL1;ACP3225;1;ACP3225;
14;C54,C48,C47,C82,C80,C77,C44,C18,C17,C16,C15,C14,C43,C8,C7,C6,C5,C4,C3,C12,C22,C29,C28,C27,C26,C25,C24,C23,C30;C_0402_1005Metric;29;100nF;
26;C53,C63,C10,C9;C_0402_1005Metric;4;0.1uF;
27;C62,C61,C74,C73;C_0402_1005Metric;4;0.8nF;
28;C33,C38,C37,C32;C_0402_1005Metric;4;22pF;
29;C59,C57,C51,C45,C65,C19;C_0402_1005Metric;6;10nF;
30;C56,C83,C50,C49,C46,C64,C13,C11,C85;C_0402_1005Metric;9;10uF;
31;C52;C_0402_1005Metric;1;47uF;
32;C21,C20,C39,C35,C34;C_0402_1005Metric;5;39pF;
33;C79,C78;C_0402_1005Metric;2;22uF;
34;C75,C72,C71,C70,C69,C68,C67,C66;C_0402_1005Metric;8;40nF;
35;C42,C36;C_0402_1005Metric;2;33pF;
36;C2,C1;C_0402_1005Metric;2;15pF;
37;C41,C40;C_0402_1005Metric;2;7.5pF;
38;C31;C_0402_1005Metric;1;1uF;
39;L1;C_0603_1608Metric;1;SMD-FERRITE-CHIP-120-OHM-500MA_0603_;
1;C76;CP_Elec_6.3x7.7;1;100uF;
44;Y1;Crystal_SMD_3215-2Pin_3.2x1.5mm;1;Crystal_Small;
45;XTAL1;Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering;1;25MHz 20pF;
17;CON1;HFW6R_2STE1LF;1;FPC_6POS;
46;L2,L3;L_0402_1005Metric;2;12nH;
47;L4,L5;L_0402_1005Metric;2;18nH;
48;L6,L7;L_0402_1005Metric;2;20nH;
4;MH2,MH4,MH3,MH1;MountingHole_2.7mm_M2.5_Pad;4;MountingHole_Pad;
40;SW2;PinHeader_1x02_P2.54mm_Vertical;1;BTN2;
41;SW3;PinHeader_1x02_P2.54mm_Vertical;1;BTN3;
42;SW1;PinHeader_1x02_P2.54mm_Vertical;1;BTN1;
43;P1;PinHeader_1x03_P2.54mm_Vertical;1;ROT_ENC;
21;U2;PinHeader_1x16_P2.54mm_Vertical;1;RC1602A;
3;R3,R4;R_0402_1005Metric;2;R_Small;
53;R27,R26;R_0402_1005Metric;2;2.2k ohm;
54;R12;R_0402_1005Metric;1;2kohm;
55;R11;R_0402_1005Metric;1;220ohm;
56;R10,R9,R8,R29,R30,R31,R32,R6,R1,R5,R22,R23,R7,R2;R_0402_1005Metric;14;10kohm;
57;R33;R_0402_1005Metric;1;100k;
58;R13;R_0402_1005Metric;1;243ohm;
59;R19,R20,R18;R_0402_1005Metric;3;100kohm;
60;R21,R25,R17,R15,R14;R_0402_1005Metric;5;50ohm;
61;R24;R_0402_1005Metric;1;2.7kohm;
62;R16;R_0402_1005Metric;1;3.92kohm;
6;J1;SJ1-35235;1;Conn_01x05_Female;
66;U7;SM-22;1;Transformer;
5;J2;SMA_Amphenol_132289_EdgeMount;1;Conn_Coaxial;
51;IC3;SOIC-14_3.9x8.7mm_P1.27mm;1;74LVC74;
22;U8;SOIC-8_3.9x4.9mm_P1.27mm;1;NE5532;
15;U4;SOT-23-5;1;MIC5504-3.3YM5;
16;U11,U12;SOT-23-5;2;MIC5504-1.8YM5;
25;U5;SOT-23-6_Handsoldering;1;OPA300;
23;U9;SSOP-16_4.4x5.2mm_P0.65mm;1;74CBTLV3253;
8;TP5;TestPoint_Pad_D1.0mm;1;LO_A;
9;TP8;TestPoint_Pad_D1.0mm;1;LO_B;
10;TP6;TestPoint_Pad_D1.0mm;1;RF_B;
11;TP3;TestPoint_Pad_D1.0mm;1;GND;
12;TP7;TestPoint_Pad_D1.0mm;1;RF_A;
13;TP4;TestPoint_Pad_D1.0mm;1;RF_BUFFERED;
18;PSU-1;TestPoint_THTPad_2.0x2.0mm_Drill1.0mm;1;PSU-;
19;PSU+1;TestPoint_THTPad_2.0x2.0mm_Drill1.0mm;1;PSU+;
63;W2;TestPoint_THTPad_2.0x2.0mm_Drill1.0mm;1;RX;
64;W1;TestPoint_THTPad_2.0x2.0mm_Drill1.0mm;1;TX;
50;IC1;TQFP-48_7x7mm_P0.5mm;1;ATSAMD21G18A-AU;
49;IC2;TQFP-48-1EP_7x7mm_P0.5mm_EP3.5x3.5mm;1;AD9954;
24;U1;TSSOP-14_4.4x5mm_P0.65mm;1;74HC14;
20;U3;TSSOP-20_4.4x6.5mm_P0.65mm;1;TXB0108PWR;
2;J3;USB_Micro-B_Molex-105017-0001;1;USB_B_Micro;
52;U10;WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias;1;TPS62173DSG;
7;L8;XFL3012;1;2.2uH;
